LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
NYC,FOOD MARKET GROCERY STORE INC,305 E 181ST  STREET,BRONX,NY,10457,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"305 E 181ST  STREET
BRONX, NY 10457
(40.854110844, -73.89904482)"
LIVINGSTON,STAR GOLD QUICK STOP,8138 SOUTH MAIN STREET,SPRINGWATER,NY,14560,SPRINGWATER,LIVINGSTON,CONVENIENCE/GAS,07/10/2023,"8138 SOUTH MAIN STREET
SPRINGWATER, NY 14560
(42.629817702, -77.598937749)"
WESTCHESTER,"JL 74, INC.",74 MILLWOOD  ROAD,MILLWOOD,NY,10546,NEW CASTLE,WESTCHESTER,DELICATESSEN,07/10/2023,"74 MILLWOOD  ROAD
MILLWOOD, NY 10546
(41.190312725, -73.797159107)"
NASSAU,7-ELEVEN ( STORE # 35691A ) / 788 GREAT NECK INC.,788 MIDDLE NECK ROAD,GREAT NECK,NY,11024,N. HEMPSTEAD,NASSAU,CONVENIENCE STORE,07/10/2023,"788 MIDDLE NECK ROAD
GREAT NECK, NY 11024
(40.808351562, -73.735971038)"
NASSAU,BP ( STATION # 90206099 ) / 486 N WANTAGH PETROLEU,486 N WANTAGH AVENUE,BETHPAGE,NY,11714,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"486 N WANTAGH AVENUE
BETHPAGE, NY 11714
(40.737383161, -73.495186369)"
ERIE,AURORA COUNTRY STORE,1342 QUAKER  ROAD,EAST AURORA,NY,14052,AURORA,ERIE,CONVENIENCE STORE,07/10/2023,"1342 QUAKER  ROAD
EAST AURORA, NY 14052
(42.768190854, -78.681511506)"
DUTCHESS,JSM QUICK SHOP,1144 ROUTE 55,LAGRANGEVILLE,NY,12540,LAGRANGE,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"1144 ROUTE 55
LAGRANGEVILLE, NY 12540
(41.67102655000008, -73.79790827299996)"
NYC,DAYLAN DELI CORP,100 WEST 168TH STREET,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"100 WEST 168TH STREET
BRONX, NY 10452
(40.838198346, -73.924407621)"
NYC,"INFANTE, SUSANA",175 GRAND STREET,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"175 GRAND STREET
BROOKLYN, NY 11211
(40.714498319, -73.961137982)"
ALBANY,NEW ELITE GAS,2547 2ND AVENUE,WATERVLIET,NY,12189,WATERVLIET,ALBANY,CONVENIENCE/GAS,07/10/2023,"2547 2ND AVENUE
WATERVLIET, NY 12189
(42.735886841, -73.700759785)"
MONROE,VERSATILE CONVENIENCE STORE,8 BAY STREET,ROCHESTER,NY,14605,ROCHESTER,MONROE,CONVENIENCE STORE,07/10/2023,"8 BAY STREET
ROCHESTER, NY 14605
(43.170893566, -77.594173559)"
NYC,AMEER CONVENIENCE CORP,730 LYDIG AVENUE,BRONX,NY,10462,BRONX,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"730 LYDIG AVENUE
BRONX, NY 10462
(40.854387489, -73.866484144)"
ERIE,NEW SPICY TOWN & DELI CORP.,1096 KENSINGTON  AVENUE,BUFFALO,NY,14215,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"1096 KENSINGTON  AVENUE
BUFFALO, NY 14215
(42.938033819, -78.814330305)"
NYC,BLESSED AND THANKFUL CORP.,8122 BROADWAY,ELMHURST,NY,11373,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"8122 BROADWAY
ELMHURST, NY 11373
(40.742988685, -73.883332188)"
ONEONTA DO,SMOKER'S CHOICE,12165 ROUTE 9W,W. COXSACKIE,NY,12192,COXSACKIE,GREENE,TOBACCO RETAIL,07/10/2023,"12165 ROUTE 9W
W. COXSACKIE, NY 12192
(42.375015096, -73.831571589)"
NYC,JINAL USA LLC.,180 MAIN STREET,STATEN ISLAND,NY,10307,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"180 MAIN STREET
STATEN ISLAND, NY 10307
(40.510579003, -74.248522825)"
BROOME,EZ FOOD MART,333 PROSPECT STREET,BINGHAMTON,NY,13905,BINGHAMTON,BROOME,CONVENIENCE STORE,07/10/2023,"333 PROSPECT STREET
BINGHAMTON, NY 13905
(42.115785797, -75.941200646)"
NYC,"ALMAWARI, ABDO M.",237 ROGERS AVENUE,BROOKLYN,NY,11225,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"237 ROGERS AVENUE
BROOKLYN, NY 11225
(40.66835844, -73.953278416)"
NASSAU,MOBIL / GREENVALE SERVICE STATION INC.,120 NORTHERN BOULEVARD,GREENVALE,NY,11548,N. HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"120 NORTHERN BOULEVARD
GREENVALE, NY 11548
(40.809524994, -73.62827308)"
NYC,GET IT OFF YOUR CHEST INC.,4129 WHITE PLAINS ROAD,BRONX,NY,10466,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"4129 WHITE PLAINS ROAD
BRONX, NY 10466
(40.891590482, -73.858597779)"
DUTCHESS,BEACON QUICKMART (BEACON MOBIL),361 MAIN STREET,BEACON,NY,12508,BEACON,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"361 MAIN STREET
BEACON, NY 12508
(41.504151868000065, -73.96885953599997)"
SUFFOLK,BP,5665 SUNRISE HIGHWAY,HOLBROOK,NY,11741,ISLIP,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"5665 SUNRISE HIGHWAY
HOLBROOK, NY 11741
(40.768387486, -73.071219648)"
NYC,LIVONIA GROCERY CORP.,933 LIVONIA AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"933 LIVONIA AVENUE
BROOKLYN, NY 11207
(40.66658332, -73.882570357)"
NYC,HEMPSTEAD SMOKE PALACE CORP.,220-24 HEMPSTEAD AVENUE,QUEENS VILLAGE,NY,11429,QUEENS,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"220-24 HEMPSTEAD AVENUE
QUEENS VILLAGE, NY 11429
(40.712474618, -73.733265108)"
NYC,"RIGHT HERE CO., INC.",136-87 ROOSEVELT AVENUE,FLUSHING,NY,11354,QUEENS,NEW YORK CITY,DISCOUNT STORE,07/10/2023,"136-87 ROOSEVELT AVENUE
FLUSHING, NY 11354
(40.760454894, -73.827075117)"
NYC,71 AVE MART INC,9216 71ST AVENUE,FOREST HILLS,NY,11375,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"9216 71ST AVENUE
FOREST HILLS, NY 11375
(40.710836668, -73.850499435)"
SUFFOLK,INTER-DELI,460 PANTIGO RD.,EAST HAMPTON,NY,11937,E. HAMPTON,SUFFOLK,DELICATESSEN,07/10/2023,"460 PANTIGO RD.
EAST HAMPTON, NY 11937
(40.967781093, -72.163444181)"
NYC,A-1 AMOCO AUTO CENTER INC,2071 VICTORY BOULEVARD,STATEN ISLAND,NY,10314,STATEN ISLAND,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"2071 VICTORY BOULEVARD
STATEN ISLAND, NY 10314
(40.612708135, -74.132659777)"
NYC,"J & J NEWS, INC.",45-20 23RD STREET,LONG ISLAND CITY,NY,11101,QUEENS,NEW YORK CITY,STAND,07/10/2023,"45-20 23RD STREET
LONG ISLAND CITY, NY 11101
(40.746462816, -73.9456249)"
GENEVA DO,DAVE'S MEAT MARKET,1578  N MAIN  STREET,SAVANNAH,NY,13148,SAVANNAH,WAYNE,CONVENIENCE/GAS,07/10/2023,"1578  N MAIN  STREET
SAVANNAH, NY 13148
(43.067403884, -76.759996748)"
RENSSELAER,FOOD CIRCUS,# 28 # 112 TH STREET,TROY,NY,12182,TROY,RENSSELAER,GROCERY SUPERMARKET,07/10/2023,"# 28 # 112 TH STREET
TROY, NY 12182
(42.770188094, -73.676214439)"
NYC,JOLLY 100 CORP.,45-20 QUEENS BOULEVARD,SUNNYSIDE,NY,11104,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"45-20 QUEENS BOULEVARD
SUNNYSIDE, NY 11104
(40.742906919, -73.918901465)"
RENSSELAER,SUNOCO GAS STATION,4005 NY-2 JUNCTION,CROPSEYVILLE,NY,12052,GRAFTON,RENSSELAER,CONVENIENCE STORE,07/10/2023,"4005 NY-2 JUNCTION
CROPSEYVILLE, NY 12052
(42.749679001, -73.569206285)"
NYC,TAS MARKET CORP.,2520 LINDEN BOULEVARD,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2520 LINDEN BOULEVARD
BROOKLYN, NY 11208
(40.667004218, -73.870929318)"
TIOGA,HARRY'S EXPRESSWAY,1423 STATE ROUTE 96,OWEGO,NY,13827,OWEGO,TIOGA,GROCERY SUPERMARKET,07/10/2023,"1423 STATE ROUTE 96
OWEGO, NY 13827
(42.12277341300006, -76.27093574799994)"
SUFFOLK,GULF,1970 DEER PARK AVENUE,DEER PARK,NY,11729,BABYLON,SUFFOLK,CONVENIENCE/GAS,07/10/2023,"1970 DEER PARK AVENUE
DEER PARK, NY 11729
(40.765214223, -73.331170461)"
SUFFOLK,HAVE A CIGAR,626 SUNRISE HIGHWAY,WEST BABYLON,NY,11704,BABYLON,SUFFOLK,TOBACCO RETAIL,07/10/2023,"626 SUNRISE HIGHWAY
WEST BABYLON, NY 11704
(40.713182743, -73.347166893)"
NYC,Z & A DELI GROCERY CORP.,5502 CHURCH AVENUE,BROOKLYN,NY,11203,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"5502 CHURCH AVENUE
BROOKLYN, NY 11203
(40.652341838, -73.925459634)"
ERIE,VULCAN MINI MART,90 VULCAN STREET,BUFFALO,NY,14207,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"90 VULCAN STREET
BUFFALO, NY 14207
(42.959161914, -78.908960819)"
NYC,IRFAN ULLAH,97-07 QUEENS BOULEVARD,REGO PARK,NY,11374,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"97-07 QUEENS BOULEVARD
REGO PARK, NY 11374
(40.729930895, -73.860935324)"
NASSAU,"SPEEDWAY ( STATION # 076557 ) / SPEEDWAY, LLC",60 JERICHO TURNPIKE,JERICHO,NY,11753,OYSTER BAY,NASSAU,CONVENIENCE/GAS,07/10/2023,"60 JERICHO TURNPIKE
JERICHO, NY 11753
(40.77916326, -73.563094704)"
NIAGARA,777 FOOD BAZAAR INC.,1500 MAIN STREET,NIAGARA FALLS,NY,14305,NIAGARA FALLS,NIAGARA,CONVENIENCE STORE,07/10/2023,"1500 MAIN STREET
NIAGARA FALLS, NY 14305
(43.102831255, -79.052864601)"
NYC,FAST N FRESH SUPER MARKET CORP,86-02 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH,NY,11693,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"86-02 ROCKAWAY BEACH BOULEVARD
ROCKAWAY BEACH, NY 11693
(40.587637988, -73.811442784)"
NYC,K P DELI CORP.,255 HYLAN BOULEVARD,STATEN ISLAND,NY,10305,STATEN ISLAND,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"255 HYLAN BOULEVARD
STATEN ISLAND, NY 10305
(40.612135609, -74.070653223)"
ERIE,ISLAND MINI MART,232 WEST FERRY STREET,BUFFALO,NY,14213,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"232 WEST FERRY STREET
BUFFALO, NY 14213
(42.915388305, -78.893059845)"
HERKIMER DO,CEDARVILLE COUNTRY STORE,103 JORDANVILLE ROAD,ILION,NY,13357,COLUMBIA,HERKIMER,CONVENIENCE/GAS,07/10/2023,"103 JORDANVILLE ROAD
ILION, NY 13357
(42.930563406, -75.112718667)"
NYC,"SARTHAK, INC.",1537 86TH STREET,BROOKLYN,NY,11228,BROOKLYN,NEW YORK CITY,STATIONERY STORE,07/10/2023,"1537 86TH STREET
BROOKLYN, NY 11228
(40.61111507, -74.008199495)"
NYC,"MOZID, SAYEDA F.",N/W/C BROADWAY AND 73RD STREET,JACKSON HEIGHTS,NY,11372,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"N/W/C BROADWAY AND 73RD STREET
JACKSON HEIGHTS, NY 11372
(40.747109983, -73.892390008)"
DUTCHESS,RHINEBECK MART,6885 ROUTE 9,RHINEBECK,NY,12572,RHINEBECK,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"6885 ROUTE 9
RHINEBECK, NY 12572
(41.95756815500005, -73.89415716499997)"
SUFFOLK,SHORE STATIONERY AND GIFTS,184 HOWELLS ROAD,BAY SHORE,NY,11706,ISLIP,SUFFOLK,STATIONERY STORE,07/10/2023,"184 HOWELLS ROAD
BAY SHORE, NY 11706
(40.731891543, -73.274537682)"
NYC,"RENTAS, FELICITA",2424 PITKIN AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2424 PITKIN AVENUE
BROOKLYN, NY 11208
(40.673701275, -73.882887444)"
ERIE,FAMILY DOLLAR # 3197,1234 ABBOTT ROAD,LACKAWANNA,NY,14218,LACKAWANNA,ERIE,DISCOUNT STORE,07/10/2023,"1234 ABBOTT ROAD
LACKAWANNA, NY 14218
(42.83114955, -78.805246837)"
NYC,AVADH CONVENIENCE INC.,3714 BROADWAY STREET,ASTORIA,NY,11103,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"3714 BROADWAY STREET
ASTORIA, NY 11103
(40.759393075, -73.920159337)"
NASSAU,PK SMOKE SHOP & CARD STORE / EAST PARK CIGAR INC.,254 E  PARK AVENUE,LONG BEACH,NY,11561,LONG BEACH,NASSAU,STATIONERY STORE,07/10/2023,"254 E  PARK AVENUE
LONG BEACH, NY 11561
(40.588204772, -73.656280597)"
NASSAU,EL MANGO DELI & GROCERY / KAYLA ENTERPRISE INC.,229 FULTON AVENUE,HEMPSTEAD,NY,11550,HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"229 FULTON AVENUE
HEMPSTEAD, NY 11550
(40.707860547, -73.626871348)"
HERKIMER DO,BOTTOM'S UP DELI,263 DIVISION STREET,AMSTERDAM,NY,12010,AMSTERDAM,MONTGOMERY,CONVENIENCE STORE,07/10/2023,"263 DIVISION STREET
AMSTERDAM, NY 12010
(42.947974085, -74.206091368)"
PUTNAM,BEER TIME STORE,49 ARGONNE ROAD,BREWSTER,NY,10509,SOUTHEAST,PUTNAM,LIQUOR/BEVERAGE STORE,07/10/2023,"49 ARGONNE ROAD
BREWSTER, NY 10509
(41.396656223, -73.598307499)"
SUFFOLK,7-ELEVEN 11149D,2160 DEER PARK AVE,DEER PARK,NY,11729,BABYLON,SUFFOLK,CONVENIENCE STORE,07/10/2023,"2160 DEER PARK AVE
DEER PARK, NY 11729
(40.774565954, -73.335302739)"
ONONDAGA,ZAZA CONVIENENCE MART,1001 BUTTERNUT  STREET,SYRACUSE,NY,13208,SYRACUSE,ONONDAGA,TOBACCO RETAIL,07/10/2023,"1001 BUTTERNUT  STREET
SYRACUSE, NY 13208
(43.064447419, -76.143683873)"
NASSAU,BP / HEWLETT STAR AUTO CARE INC.,1169 BROADWAY,HEWLETT,NY,11557,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,07/10/2023,"1169 BROADWAY
HEWLETT, NY 11557
(40.63566688000003, -73.70325303299995)"
NYC,TOP GOURMET GRILL CORP,938A 4TH AVENUE,BROOKLYN,NY,11232,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"938A 4TH AVENUE
BROOKLYN, NY 11232
(40.654840619, -74.004070956)"
ALBANY,THE BUNKER GUILDERLAND,2390 WESTERN AVENUE,GUILDERLAND,NY,12084,GUILDERLAND,ALBANY,BAR/LOUNGE,07/10/2023,"2390 WESTERN AVENUE
GUILDERLAND, NY 12084
(42.706171685, -73.91853023)"
NYC,14 BROTHERS DELI & GROCERY CORP.,810 FAIRVIEW AVENUE,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"810 FAIRVIEW AVENUE
RIDGEWOOD, NY 11385
(40.704361815, -73.902074878)"
ERIE,CLINTON EXPRESS,1270 CLINTON STREET,BUFFALO,NY,14206,BUFFALO,ERIE,DELICATESSEN,07/10/2023,"1270 CLINTON STREET
BUFFALO, NY 14206
(42.875488267, -78.828360438)"
NYC,BAY DELI MARKET CORP,3967 LACONIA AVENUE,BRONX,NY,10466,BRONX,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"3967 LACONIA AVENUE
BRONX, NY 10466
(40.884176898, -73.849552783)"
MONTICELLO DO,PECK'S MARKET - LIV MANOR,29 MAIN  STREET,LIVINGSTON MANOR,NY,12758,ROCKLAND,SULLIVAN,GROCERY SUPERMARKET,07/10/2023,"29 MAIN  STREET
LIVINGSTON MANOR, NY 12758
(41.90129323, -74.82555039)"
ROCKLAND,RAILROAD DELI,146  WEST RAILROAD AVENUE,GARNERVILLE,NY,10923,HAVERSTRAW,ROCKLAND,DELICATESSEN,07/10/2023,"146  WEST RAILROAD AVENUE
GARNERVILLE, NY 10923
(41.20774753, -73.995326652)"
MONTICELLO DO,OM PETROLEUM INC-QUICK MART 3,6 OLD COUNTY  ROAD,COCHECTON CENTER,NY,12727,COCHECTON,SULLIVAN,GROCERY SUPERMARKET,07/10/2023,"6 OLD COUNTY  ROAD
COCHECTON CENTER, NY 12727
(41.655365174, -74.982936464)"
ERIE,M & N MINI MART,2360 BAILEY  AVENUE,BUFFALO,NY,14211,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"2360 BAILEY  AVENUE
BUFFALO, NY 14211
(42.918747437, -78.813968291)"
NYC,LA TINFORA GROCERY CORP,2386 WEBSTER AVENUE,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2386 WEBSTER AVENUE
BRONX, NY 10452
(40.858609537, -73.893857344)"
WESTCHESTER,MINIMART 786 DELI GROCERY INC.,30 MOUNT VERNON AVENUE,MOUNT VERNON,NY,10550,MT. VERNON,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"30 MOUNT VERNON AVENUE
MOUNT VERNON, NY 10550
(40.91102395, -73.845263137)"
SCHENECTADY,CUMBERLAND FARMS,1268 STATE STREET,SCHENECTADY,NY,12305,SCHENECTADY,SCHENECTADY,CONVENIENCE/GAS,07/10/2023,"1268 STATE STREET
SCHENECTADY, NY 12305
(42.797502308, -73.923418854)"
45,DOLLAR GENERAL-MILTON,162 WEST MILTON ROAD,MILTON,NY,12020,MILTON,SARATOGA,DISCOUNT STORE,07/10/2023,"162 WEST MILTON ROAD
MILTON, NY 12020
(43.036866222, -73.928079146)"
NYC,5 STAR EXPRESS DELI AND GROCERY CORP,1176 NOSTRAND AVENUE,BROOKLYN,NY,11225,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1176 NOSTRAND AVENUE
BROOKLYN, NY 11225
(40.658796616, -73.950622777)"
ONEONTA DO,QUICK MART - ARKVILLE,43525 ROUTE 28,ARKVILLE,NY,12406,MIDDLETOWN,DELAWARE,CONVENIENCE/GAS,07/10/2023,"43525 ROUTE 28
ARKVILLE, NY 12406
(42.147800099, -74.61559084)"
ERIE,DOLLAR GENERAL # 8136,93 SOUTH ROSSLER AVENUE,BUFFALO,NY,14206,BUFFALO,ERIE,DISCOUNT STORE,07/10/2023,"93 SOUTH ROSSLER AVENUE
BUFFALO, NY 14206
(42.876690237, -78.794805341)"
NYC,SPICY MINI MARKET CORP.,131 TOMPKINS AVENUE,BROOKLYN,NY,11206,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"131 TOMPKINS AVENUE
BROOKLYN, NY 11206
(40.695113181, -73.946116331)"
SUFFOLK,MONTAUK MARINE BASIN,426 WEST LAKE DRIVE,MONTAUK,NY,11954,E. HAMPTON,SUFFOLK,CONVENIENCE STORE,07/10/2023,"426 WEST LAKE DRIVE
MONTAUK, NY 11954
(41.07163330100008, -71.94109535399997)"
NYC,XYZ TRAP HOUSE CORP,3290 FULTON STREET,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"3290 FULTON STREET
BROOKLYN, NY 11208
(40.683090599, -73.873794756)"
ORANGE,QUICK MART,401  BROADWAY,NEWBURGH,NY,12550,NEWBURGH,ORANGE,CONVENIENCE/GAS,07/10/2023,"401  BROADWAY
NEWBURGH, NY 12550
(41.500976804, -74.026134307)"
NYC,ALKORI ORGANIC DELI CORP,407 KEAP STREET,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"407 KEAP STREET
BROOKLYN, NY 11211
(40.711086155, -73.953471786)"
SCHENECTADY,STEWARTS #116,4032 STATE HIGHWAY 30 HIGHWAY,ESPERANCE,NY,12066,DUANESBURG,SCHENECTADY,CONVENIENCE/GAS,07/10/2023,"4032 STATE HIGHWAY 30 HIGHWAY
ESPERANCE, NY 12066
(42.760715286, -74.245250278)"
SUFFOLK,LAS QUISQUEYA DELI & GROCERY,10 FIRST AVE #12,BRENTWOOD,NY,11717,ISLIP,SUFFOLK,CONVENIENCE STORE,07/10/2023,"10 FIRST AVE #12
BRENTWOOD, NY 11717
(40.779434583, -73.247428962)"
SUFFOLK,BAY SHORE CONVENIENCE,1 PARK PLACE (RAILROAD PLAZA),BAY SHORE,NY,11706,ISLIP,SUFFOLK,CONVENIENCE STORE,07/10/2023,"1 PARK PLACE (RAILROAD PLAZA)
BAY SHORE, NY 11706
(40.725614801, -73.252939644)"
NYC,MARUTINANDAN 77 CORP,76-17 BROADWAY,ELMHURST,NY,11372,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"76-17 BROADWAY
ELMHURST, NY 11372
(40.745622362, -73.888592671)"
DUTCHESS,PLEASANT VALLEY GAS & SNACKS LLC,1544-1546 MAIN STREET,PLEASANT VALLEY,NY,12569,PLEASANT VALLEY,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"1544-1546 MAIN STREET
PLEASANT VALLEY, NY 12569
(41.742470163, -73.828937744)"
NYC,FRESH DELI AND GROCERY 1 CORP,62-74 FRESH POND ROAD,RIDGEWOOD,NY,11385,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"62-74 FRESH POND ROAD
RIDGEWOOD, NY 11385
(40.711959927, -73.900407801)"
COLUMBIA,LOVE'S TRAVEL STOP #611,12845 ROUTE 22,CANAAN,NY,12029,CANAAN,COLUMBIA,CONVENIENCE/GAS,07/10/2023,"12845 ROUTE 22
CANAAN, NY 12029
(42.362882626000044, -73.42968514799998)"
NASSAU,MOBIL / JOHN'S SOUTH BAY SERVICE STATION INC.,295 CENTRAL AVENUE,BETHPAGE,NY,11714,OYSTER BAY,NASSAU,CONVENIENCE/GAS,07/10/2023,"295 CENTRAL AVENUE
BETHPAGE, NY 11714
(40.73807064500005, -73.48094191099995)"
ERIE,ALDEN EXPRESS,11615 CLINTON STREET,ALDEN,NY,14004,ALDEN,ERIE,CONVENIENCE STORE,07/10/2023,"11615 CLINTON STREET
ALDEN, NY 14004
(42.856301546000054, -78.55383852399996)"
NYC,CECI & PAPI LLC,2703 CHURCH AVENUE,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2703 CHURCH AVENUE
BROOKLYN, NY 11226
(40.650811387, -73.952238976)"
NYC,NEW FIVE STAR 88 INC.,6505 14TH AVENUE,BROOKLYN,NY,11219,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"6505 14TH AVENUE
BROOKLYN, NY 11219
(40.624373691, -73.99941568)"
NASSAU,"WOODMERE CONVENIENCE / S & S WOODMERE, INC.",1064 BROADWAY,WOODMERE,NY,11598,HEMPSTEAD,NASSAU,CONVENIENCE STORE,07/10/2023,"1064 BROADWAY
WOODMERE, NY 11598
(40.632217937000064, -73.70691634399998)"
GENEVA DO,DOLLAR GENERAL 15522,1250 ROUTE 104,ONTARIO,NY,14519,ONTARIO,WAYNE,DISCOUNT STORE,07/10/2023,"1250 ROUTE 104
ONTARIO, NY 14519
(43.22560581100004, -77.32013972399994)"
RENSSELAER,DOLLAR GENERAL STORE # 13920,21428 STATE # 22 ROUTE,HOOSICK FALLS,NY,12090,HOOSICK,RENSSELAER,DISCOUNT STORE,07/10/2023,"21428 STATE # 22 ROUTE
HOOSICK FALLS, NY 12090
(42.890316273, -73.359981493)"
NYC,ADEN DELI & GRILL INC V,1376    ROCKAWAY  PARKWAY,BROOKLYN,NY,11236,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1376    ROCKAWAY  PARKWAY
BROOKLYN, NY 11236
(40.646121796, -73.903587141)"
NYC,COLLEGE PEN & STATIONERY INC.,144 BLEECKER STREET,NEW YORK,NY,1001,MANHATTAN,NEW YORK CITY,STATIONERY STORE,07/10/2023,"144 BLEECKER STREET
NEW YORK, NY 1001
(40.696119052, -73.920090857)"
NYC,H & I GROCERY INC,2847 86TH STREET,BROOKLYN,NY,11223,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"2847 86TH STREET
BROOKLYN, NY 11223
(40.592248538, -73.977470013)"
WESTCHESTER,TOP DELI MARKET INC.,16 EAST 3RD STREET,MT. VERNON,NY,10550,MT. VERNON,WESTCHESTER,DELICATESSEN,07/10/2023,"16 EAST 3RD STREET
MT. VERNON, NY 10550
(40.906781173, -73.834388495)"
NYC,EMPINE DELI GROCERY INC,511 EAST 138TH STREET,BRONX,NY,10454,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"511 EAST 138TH STREET
BRONX, NY 10454
(40.807627701, -73.918972711)"
NYC,PAPA MINI MARKET NY CORP.,303 TOMPKINS AVENUE,BROOKLYN,NY,11216,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"303 TOMPKINS AVENUE
BROOKLYN, NY 11216
(40.687572088, -73.94469384)"
NASSAU,JGP DELI,846 PROSPECT AVENUE,WESTBURY,NY,11590,N. HEMPSTEAD,NASSAU,DELICATESSEN,07/10/2023,"846 PROSPECT AVENUE
WESTBURY, NY 11590
(40.761996368, -73.568717033)"
ERIE,WAZY MINI MART,595 ONTARIO  STREET,BUFFALO,NY,14207,BUFFALO,ERIE,CONVENIENCE/GAS,07/10/2023,"595 ONTARIO  STREET
BUFFALO, NY 14207
(42.958793404, -78.894817866)"
COLUMBIA,5 STAR MARKET,534 WARREN STREET,HUDSON,NY,12534,HUDSON,COLUMBIA,CONVENIENCE STORE,07/10/2023,"534 WARREN STREET
HUDSON, NY 12534
(42.248903286, -73.785386967)"
ONEIDA,FASTRAC MARKETS #276,1614 BLACK RIVER  BOULEVARD,ROME,NY,13440,ROME,ONEIDA,CONVENIENCE/GAS,07/10/2023,"1614 BLACK RIVER  BOULEVARD
ROME, NY 13440
(43.22906234, -75.439705092)"
ERIE,5 STAR MINI MART,365 AUBRURN AVENUE,BUFFALO,NY,14213,BUFFALO,ERIE,CONVENIENCE STORE,07/10/2023,"365 AUBRURN AVENUE
BUFFALO, NY 14213
(42.918387853, -78.887100731)"
